,log_time,log_rate,producing_days,daily_oil_rate
26138,-13.815510557964274,6.573214509210671,0.0,715.6666666666666
26139,3.4011973816621555,6.128628447085082,30.0,458.8064516129032
26140,4.0943445622221,5.367933699556436,60.0,214.4193548387097
26141,4.499809670330265,5.155139596871709,90.0,173.32
26142,4.787491742782046,5.7527915530121465,120.0,315.0689655172414
26143,5.0106352940962555,5.595330766428702,150.0,269.1666666666667
26144,5.19295685089021,5.586040107203259,180.0,241.06451612903223
26145,5.3471075307174685,5.38217208423079,210.0,182.89655172413796
26146,5.480638923341991,5.239395078753058,240.0,154.35
26147,5.598421958998375,5.185143165167374,270.0,171.8
26148,5.703782474656201,5.150989017021023,300.0,165.7
26149,5.799092654460526,5.036722996831195,330.0,137.8709677419355
26150,5.886104031450156,4.945054691963774,360.0,125.46666666666668
26151,5.966146739123692,4.858081611162573,390.0,111.5483870967742
26152,6.040254711277414,4.805404307321887,420.0,94.93548387096774
26153,6.1092475827643655,4.75064210274063,450.0,101.35714285714286
26154,6.173786103901937,4.67879460916834,480.0,91.41935483870968
26155,6.234410725718371,4.5978794642386145,510.0,107.33333333333331
26156,6.29156913955832,4.536573878387266,540.0,100.64516129032258
26157,6.345636360828596,4.4677686852240965,570.0,103.6
26158,6.396929655216146,4.409216501186585,600.0,76.2258064516129
26159,6.4457198193855785,4.35716610524049,630.0,75.58064516129032
26160,6.492239835020471,4.295644294302211,660.0,65.3
26161,6.536691597591305,4.2560896673244,690.0,67.03225806451613
26162,6.579251212010101,4.196690548862397,720.0,50.96666666666667
26163,6.620073206530356,4.120029312678236,750.0,52.064516129032256
26164,6.659293919683638,4.061112175138852,780.0,44.903225806451616
26165,6.697034247666484,4.02546894226089,810.0,45.48275862068966
26166,6.733401891837359,3.9842657808533515,840.0,57.26923076923077
26167,6.76849321164863,3.9584555227746456,870.0,58.52173913043478
26168,6.802394763324311,3.9344108078673425,900.0,41.785714285714285
26169,6.835184586147301,3.9403397614676496,930.0,61.333333333333336
26170,6.866933284461882,3.9299378964554834,960.0,51.83870967741935
26171,6.897704943128636,3.932416837333089,990.0,48.45161290322581
26172,6.927557906278317,3.932211683086348,1020.0,48.86666666666667
26173,6.984716320118266,3.910461540069417,1080.0,52.1
26174,7.01211529430638,3.8855799709831467,1110.0,54.61538461538461
26175,7.038783541388542,3.9000836458954344,1140.0,45.67741935483871
26176,7.064759027791802,3.8950672530472255,1170.0,46.41935483870968
26177,7.090076835776092,3.915901586096002,1200.0,45.35714285714285
26178,7.114769448366463,3.92756195384033,1230.0,44.096774193548384
26179,7.138866999945524,3.922626890632667,1260.0,43.8
26180,7.162397497355718,3.9024168896181983,1290.0,50.32258064516129
26181,7.1853870155804165,3.8755005636667597,1320.0,58.36666666666667
26182,7.2078598714324755,3.8658629815558725,1350.0,64.25806451612904
26183,7.22983877815125,3.850830169853495,1380.0,55.516129032258064
26184,7.251344983372214,3.833146167190467,1410.0,45.86666666666667
26185,7.272398392570047,3.8103152799632984,1440.0,39.96774193548387
26186,7.293017679772782,3.821081698803605,1470.0,38.833333333333336
26187,7.313220387090301,3.7952551513051804,1500.0,40.12903225806452
26188,7.333023014386481,3.769130547257926,1530.0,37.87096774193548
26189,7.352441100243583,3.7132677667912124,1560.0,35.464285714285715
26190,7.371489295214277,3.66819382379806,1590.0,31.580645161290324
26191,7.3901814282264295,3.643430643603965,1620.0,49.66666666666666
26192,7.408530566894626,3.6346006324724454,1650.0,36.354838709677416
26193,7.426549072397305,3.6256895708597208,1680.0,44.6
